event_date,retail_unit_code,store_no,n_transactions
2022-09-01,DE,068,3204
2022-09-02,DE,068,3369
2022-09-03,DE,068,4774
2022-09-04,DE,068,4583
2022-09-05,DE,068,5021
2022-09-06,DE,068,4838
2022-09-07,DE,068,5521
2022-09-08,DE,068,6365
2022-09-09,DE,068,7451
2022-09-10,DE,068,7464
2022-09-11,DE,068,4690
2022-09-12,DE,068,6398
2022-09-13,DE,068,7623
2022-09-14,DE,068,6948
2022-09-15,DE,068,7918
2022-09-16,DE,068,8372
2022-09-17,DE,068,8475
2022-09-18,DE,068,4390
2022-09-19,DE,068,6677
2022-09-20,DE,068,7897
2022-09-21,DE,068,8145
2022-09-22,DE,068,8822
2022-09-23,DE,068,8146
2022-09-24,DE,068,7908
2022-09-25,DE,068,4457
2022-09-26,DE,068,7489
2022-09-27,DE,068,8802
2022-09-28,DE,068,9166
2022-09-29,DE,068,9034
2022-09-30,DE,068,8538
2022-10-01,DE,068,9190
2022-10-02,DE,068,4246
2022-10-03,DE,068,4456
2022-10-04,DE,068,6945
2022-10-05,DE,068,7968
2022-10-06,DE,068,8092
2022-10-07,DE,068,7994
2022-10-08,DE,068,8012
2022-10-09,DE,068,4243
2022-10-10,DE,068,7607
2022-10-11,DE,068,8333
2022-10-12,DE,068,9328
2022-10-13,DE,068,9274
2022-10-14,DE,068,8867
2022-10-15,DE,068,8598
2022-10-16,DE,068,4413
2022-10-17,DE,068,8216
2022-10-18,DE,068,8756
2022-10-19,DE,068,9535
2022-10-20,DE,068,9268
2022-10-21,DE,068,9270
2022-10-22,DE,068,8684
2022-10-23,DE,068,4557
2022-10-24,DE,068,9167
2022-10-25,DE,068,9374
2022-10-26,DE,068,9807
2022-10-27,DE,068,9342
2022-10-28,DE,068,9423
2022-10-29,DE,068,8933
2022-10-30,DE,068,4325
2022-10-31,DE,068,7322
2022-11-01,DE,068,7505
2022-11-02,DE,068,9001
2022-11-03,DE,068,10629
2022-11-04,DE,068,10489
2022-11-05,DE,068,9584
2022-11-06,DE,068,5084
2022-11-07,DE,068,9122
2022-11-08,DE,068,9233
2022-11-09,DE,068,9926
2022-11-10,DE,068,9680
2022-11-11,DE,068,9679
2022-11-12,DE,068,9619
2022-11-13,DE,068,5190
2022-11-14,DE,068,9444
2022-11-15,DE,068,10083
2022-11-16,DE,068,9851
2022-11-17,DE,068,9841
2022-11-18,DE,068,11098
2022-11-19,DE,068,9683
2022-11-20,DE,068,5202
2022-11-21,DE,068,9739
2022-11-22,DE,068,10531
2022-11-23,DE,068,9828
2022-11-24,DE,068,9584
2022-11-25,DE,068,10427
2022-11-26,DE,068,9258
2022-11-27,DE,068,4949
2022-11-28,DE,068,9687
2022-11-29,DE,068,9983
2022-11-30,DE,068,10384
2022-12-01,DE,068,9260
2022-12-02,DE,068,9608
2022-12-03,DE,068,9179
2022-12-04,DE,068,5189
2022-12-05,DE,068,8753
2022-12-06,DE,068,10207
2022-12-07,DE,068,10624
2022-12-08,DE,068,9977
2022-12-09,DE,068,9583
2022-12-10,DE,068,9535
2022-12-11,DE,068,4768
2022-12-12,DE,068,9602
2022-12-13,DE,068,9585
2022-12-14,DE,068,9765
2022-12-15,DE,068,9604
2022-12-16,DE,068,9458
2022-12-17,DE,068,8936
2022-12-18,DE,068,3582
2022-12-19,DE,068,9149
2022-12-20,DE,068,9286
2022-12-21,DE,068,9054
2022-12-22,DE,068,8032
2022-12-23,DE,068,9126
2022-12-24,DE,068,4062
2022-12-25,DE,068,2348
2022-12-26,DE,068,3485
2022-12-27,DE,068,7316
2022-12-28,DE,068,12221
2022-12-29,DE,068,10460
2022-12-30,DE,068,10224
2022-12-31,DE,068,6382
2023-01-01,DE,068,3454
2023-01-02,DE,068,8010
2023-01-03,DE,068,11421
2023-01-04,DE,068,11179
2023-01-05,DE,068,10385
2023-01-06,DE,068,8130
2023-01-07,DE,068,9896
2023-01-08,DE,068,5460
2023-01-09,DE,068,8346
2023-01-10,DE,068,9081
2023-01-11,DE,068,9503
2023-01-12,DE,068,8957
2023-01-13,DE,068,8145
2023-01-14,DE,068,8295
2023-01-15,DE,068,4592
2023-01-16,DE,068,8736
2023-01-17,DE,068,9177
2023-01-18,DE,068,8180
2023-01-19,DE,068,9028
2023-01-20,DE,068,7913
2023-01-21,DE,068,7403
2023-01-22,DE,068,4507
2023-01-23,DE,068,8908
2023-01-24,DE,068,9623
2023-01-25,DE,068,8726
2023-01-26,DE,068,8719
2023-01-27,DE,068,8419
2023-01-28,DE,068,9006
2023-01-29,DE,068,4821
2023-01-30,DE,068,9914
2023-01-31,DE,068,9520
2023-02-01,DE,068,10482
2023-02-02,DE,068,12842
2023-02-03,DE,068,11598
2023-02-04,DE,068,7999
2023-02-05,DE,068,5053
2023-02-06,DE,068,11740
2023-02-07,DE,068,8468
2023-02-08,DE,068,7853
2023-02-09,DE,068,7580
2023-02-10,DE,068,7167
2023-02-11,DE,068,7186
2023-02-12,DE,068,4501
2023-02-13,DE,068,10538
2023-02-14,DE,068,7833
2023-02-15,DE,068,7405
2023-02-16,DE,068,10168
2023-02-17,DE,068,7136
2023-02-18,DE,068,7174
2023-02-19,DE,068,4163
2023-02-20,DE,068,7273
2023-02-21,DE,068,7548
2023-02-22,DE,068,8342
2023-02-23,DE,068,8298
2023-02-24,DE,068,8318
2023-02-25,DE,068,8457
2023-02-26,DE,068,4427
2023-02-27,DE,068,7319
2023-02-28,DE,068,7622
2023-03-01,DE,068,7782
2023-03-02,DE,068,7891
2023-03-03,DE,068,8140
2023-03-04,DE,068,7872
2023-03-05,DE,068,3999
2023-03-06,DE,068,8237
2023-03-07,DE,068,8438
2023-03-08,DE,068,7145
2023-03-09,DE,068,7589
2023-03-10,DE,068,8812
2023-03-11,DE,068,8539
2023-03-12,DE,068,4434
2023-03-13,DE,068,8415
2023-03-14,DE,068,8526
2023-03-15,DE,068,8317
2023-03-16,DE,068,8422
2023-03-17,DE,068,7541
2023-03-18,DE,068,7242
2023-03-19,DE,068,4365
2023-03-20,DE,068,7602
2023-03-21,DE,068,8348
2023-03-22,DE,068,8558
2023-03-23,DE,068,8660
2023-03-24,DE,068,9106
2023-03-25,DE,068,9563
2023-03-26,DE,068,4535
2023-03-27,DE,068,9215
2023-03-28,DE,068,9178
2023-03-29,DE,068,9253
2023-03-30,DE,068,9169
2023-03-31,DE,068,8723
2023-04-01,DE,068,9256
2023-04-02,DE,068,4737
2023-04-03,DE,068,9130
2023-04-04,DE,068,8700
2023-04-05,DE,068,8500
2023-04-06,DE,068,8979
2023-04-07,DE,068,2934
2023-04-08,DE,068,7381
2023-04-09,DE,068,2289
2023-04-10,DE,068,3293
2023-04-11,DE,068,7901
2023-04-12,DE,068,8818
2023-04-13,DE,068,8611
2023-04-14,DE,068,8470
2023-04-15,DE,068,8609
2023-04-16,DE,068,4277
2023-04-17,DE,068,7247
2023-04-18,DE,068,8576
2023-04-19,DE,068,8446
2023-04-20,DE,068,7615
2023-04-21,DE,068,7994
2023-04-22,DE,068,6567
2023-04-23,DE,068,3772
2023-04-24,DE,068,7214
2023-04-25,DE,068,7305
2023-04-26,DE,068,7198
2023-04-27,DE,068,7232
2023-04-28,DE,068,8143
2023-04-29,DE,068,7298
2023-04-30,DE,068,2747
2023-05-01,DE,068,3850
2023-05-02,DE,068,7216
2023-05-03,DE,068,8180
2023-05-04,DE,068,8293
2023-05-05,DE,068,8443
2023-05-06,DE,068,7779
2023-05-07,DE,068,4230
2023-05-08,DE,068,7024
2023-05-09,DE,068,7360
2023-05-10,DE,068,7977
2023-05-11,DE,068,8519
2023-05-12,DE,068,9369
2023-05-13,DE,068,7442
2023-05-14,DE,068,3551
2023-05-15,DE,068,7431
2023-05-16,DE,068,7934
2023-05-17,DE,068,8010
2023-05-18,DE,068,2956
2023-05-19,DE,068,8266
2023-05-20,DE,068,7602
2023-05-21,DE,068,3414
2023-05-22,DE,068,7197
2023-05-23,DE,068,8010
2023-05-24,DE,068,8884
2023-05-25,DE,068,7995
2023-05-26,DE,068,7938
2023-05-27,DE,068,6755
2023-05-28,DE,068,2841
2023-05-29,DE,068,3913
2023-05-30,DE,068,7620
2023-05-31,DE,068,8963
2023-06-01,DE,068,7246
2023-06-02,DE,068,6828
2023-06-03,DE,068,6913
2023-06-04,DE,068,2896
2023-06-05,DE,068,6674
2023-06-06,DE,068,7367
2023-06-07,DE,068,6865
2023-06-08,DE,068,4197
2023-06-09,DE,068,5752
2023-06-10,DE,068,5655
2023-06-11,DE,068,2695
2023-06-12,DE,068,6001
2023-06-13,DE,068,6419
2023-06-14,DE,068,6622
2023-06-15,DE,068,5954
2023-06-16,DE,068,5770
2023-06-17,DE,068,5674
2023-06-18,DE,068,2958
2023-06-19,DE,068,5173
2023-06-20,DE,068,5721
2023-06-21,DE,068,7164
2023-06-22,DE,068,5586
2023-06-23,DE,068,5870
2023-06-24,DE,068,5432
2023-06-25,DE,068,2887
2023-06-26,DE,068,5233
2023-06-27,DE,068,5080
2023-06-28,DE,068,6519
2023-06-29,DE,068,6987
2023-06-30,DE,068,6107
2023-07-01,DE,068,6251
2023-07-02,DE,068,3909
2023-07-03,DE,068,6025
2023-07-04,DE,068,5928
2023-07-05,DE,068,7312
2023-07-06,DE,068,6841
