Timestamp,Strategy,Query,Retrieved Context Size,Used Context Size,Retrieved Documents,Used Documents,Response Length,Token Count,Prompt Length,Embedding Model,LLM Model,Relevance Scores,Latency (s),Status,Error Message
2025-01-17T18:31:48.211301,basic,I need storage solutions for a small bathroom,3,3,ENHET(99547652); ENHET(29546953); ENHET(69547074),ENHET(99547652); ENHET(29546953); ENHET(69547074),1626,271,1702,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.700; 0.700; 0.700,5.289,Success,
2025-01-17T18:31:54.838851,multi_query,I need storage solutions for a small bathroom,8,5,JONAXEL(79305098); JONAXEL(99297144); BRIMNES(40300662); BRIMNES(80300660); HAVBÄCK(30535190); HAVBÄCK(20535181); FRÖSJÖN(10574899); ENHET(99547751),JONAXEL(79305098); JONAXEL(99297144); BRIMNES(40300662); BRIMNES(80300660); FRÖSJÖN(10574899),1495,229,3699,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.600; 0.600; 0.986; 0.986; 0.600; 0.600; 0.600; 0.595,6.626,Success,
2025-01-17T18:32:01.944430,hypothetical,I need storage solutions for a small bathroom,3,3,HEMNES(20349004); JONAXEL(50419972); JONAXEL(20419959),HEMNES(20349004); JONAXEL(50419972); JONAXEL(20419959),1624,239,2469,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.887; 0.863; 0.863,7.105,Success,
2025-01-17T18:32:12.242148,step_back,I need storage solutions for a small bathroom,4,4,JONAXEL(19297138); JONAXEL(9297488); SITTBRUNN(90587685); ENHET(99547652),JONAXEL(19297138); JONAXEL(9297488); SITTBRUNN(90587685); ENHET(99547652),2069,318,2402,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.500; 0.500; 0.500; 0.500,10.296,Success,
2025-01-17T18:32:18.288399,basic,Looking for bedroom storage ideas,3,3,BRIMNES(39590059); BRIMNES(39590064); BRIMNES(39902942),BRIMNES(39590059); BRIMNES(39590064); BRIMNES(39902942),1819,297,1744,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.700; 0.700; 0.700,6.044,Success,
2025-01-17T18:32:24.919513,multi_query,Looking for bedroom storage ideas,8,7,HEMNES(39567563); HEMNES(59567538); LILLSTUGA(70539619); BESTÅ(59195675); RAST(582164); HAUGA(30572823); HEMNES(39428124); HEMNES(59561975),HEMNES(39567563); HEMNES(59567538); LILLSTUGA(70539619); BESTÅ(59195675); RAST(582164); HEMNES(39428124); HEMNES(59561975),1678,255,3539,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.600; 0.600; 0.600; 0.592; 1.000; 0.598; 0.600; 0.600,6.629,Success,
2025-01-17T18:32:33.064499,hypothetical,Looking for bedroom storage ideas,3,3,JÄTTESTA(70538846); JÄTTESTA(80512959); JÄTTESTA(10538849),JÄTTESTA(70538846); JÄTTESTA(80512959); JÄTTESTA(10538849),1728,284,2260,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.904; 0.902; 0.902,8.144,Success,
2025-01-17T18:32:42.041874,step_back,Looking for bedroom storage ideas,4,3,SMÅSTAD(50454041); KROPPSVARM(80482373); VIHALS(99576244); BRIMNES(39590059),SMÅSTAD(50454041); VIHALS(99576244); BRIMNES(39590059),1865,298,2473,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.500; 0.500; 0.499; 0.498,8.977,Success,
2025-01-17T18:32:46.772907,basic,Need a comfortable office chair under $200,3,2,ALEFJÄLL(10367461); MARKUS(90289172); JÄRVFJÄLLET(70521855),MARKUS(90289172); JÄRVFJÄLLET(70521855),1451,237,1798,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.938; 0.934; 0.700,4.729,Success,
2025-01-17T18:32:52.759114,multi_query,Need a comfortable office chair under $200,6,2,ENERYDA(60347512); ENERYDA(20347514); STRANDTORP / MÅRENÄS(29518832); STRANDTORP / MÅRENÄS(19518823); ALEFJÄLL(10367461); HATTEFJÄLL(90538968),ALEFJÄLL(10367461); HATTEFJÄLL(90538968),1504,218,3128,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.600; 0.600; 0.600; 0.600; 0.953; 0.596,5.984,Success,
